Id,City,Address,Status,Start,End,ProductsSelected,TotalPrice,TotalPriceCurrencyCode
33437,Киев,ул. Ярославская 55,Timeout,2019-03-30 10:52,2019-03-30 10:54,N,0.00,UAH
33438,Киев,ул. Радужная 8,NewUser,2019-03-30 10:53,2019-03-30 10:54,N,0.00,UAH
33439,Киев,ул. Радужная 8,NewUser,2019-03-30 10:54,2019-03-30 10:54,N,0.00,UAH
33440,Киев,ул. Радужная 8,NewUser,2019-03-30 10:54,2019-03-30 10:56,N,0.00,UAH
33441,Свалява,ул. Борканюка 42,Timeout,2019-03-30 10:57,2019-03-30 10:58,N,0.00,UAH
33442,Киев,ул. Семьи Cосниных 17,NewUser,2019-03-30 10:57,2019-03-30 10:58,N,0.00,UAH
33443,Киев,ул. Чернобыльская 16/80,Timeout,2019-03-30 10:57,2019-03-30 10:59,N,0.00,UAH
33444,Берегово,ул. Мукачевская 190/2,Timeout,2019-03-30 10:57,2019-03-30 11:00,N,0.00,UAH
33445,Киев,ул. Радужная 8,NewUser,2019-03-30 11:00,2019-03-30 11:01,N,0.00,UAH
33446,Хуст,ул. Львовская 208,Timeout,2019-03-30 10:59,2019-03-30 11:01,N,0.00,UAH
33447,Киев,ул. Здолбуновская 17,NewUser,2019-03-30 10:54,2019-03-30 10:57,N,0.00,UAH
33448,Киев,ул. Радужная 8,NewUser,2019-03-30 11:01,2019-03-30 11:02,N,0.00,UAH
33449,Киев,пр. Победы 94,Timeout,2019-03-30 11:03,2019-03-30 11:06,N,0.00,UAH
33450,Киев,пр. Правды 66,Timeout,2019-03-30 11:04,2019-03-30 11:07,N,0.00,UAH
33451,Киев,ул. Радужная 8,NewUser,2019-03-30 11:02,2019-03-30 11:07,N,0.00,UAH
33452,Черноморск,пр. Мира 35,Timeout,2019-03-30 11:03,2019-03-30 11:07,N,0.00,UAH
33453,Киев,"ул. Берковецкая 6, Ашан",Timeout,2019-03-30 11:06,2019-03-30 11:08,N,0.00,UAH
33454,Одесса,ул. Малиновского 51,NewUser,2019-03-30 11:07,2019-03-30 11:09,N,0.00,UAH
33455,Киев,ул. Драйзера 8,Timeout,2019-03-30 11:07,2019-03-30 11:09,N,0.00,UAH
33456,Мукачево,ул. Матросова 19,NewUser,2019-03-30 11:09,2019-03-30 11:09,N,0.00,UAH
33457,Киев,"пл. Печерская 2, Велика Кишеня",NewUser,2019-03-30 11:09,2019-03-30 11:10,N,0.00,UAH
33458,Южный,ул. Химиков 29,Timeout,2019-03-30 11:08,2019-03-30 11:10,N,0.00,UAH
33459,Свалява,ул. Борканюка 42,Timeout,2019-03-30 11:09,2019-03-30 11:11,N,0.00,UAH
33460,Виноградов,ул. Ивана Франко 135е,NewUser,2019-03-30 11:10,2019-03-30 11:11,N,0.00,UAH
33461,Мукачево,ул. Матросова 19,Timeout,2019-03-30 11:09,2019-03-30 11:11,N,0.00,UAH
33462,Киев,ул. Героев Сталинграда 8,NewUser,2019-03-30 11:10,2019-03-30 11:11,N,0.00,UAH
33463,Киев,ул. Драйзера 8,Timeout,2019-03-30 11:11,2019-03-30 11:13,N,0.00,UAH
33464,Одесса,пр. Шевченко 4д,Timeout,2019-03-30 11:11,2019-03-30 11:14,N,0.00,UAH
33465,Киев,ул. Петра Калнышевского 2,Timeout,2019-03-30 11:12,2019-03-30 11:14,N,0.00,UAH
33466,Одесса,"Новониколаевская дорога 1, Суворовский, Таврия В",NewUser,2019-03-30 11:14,2019-03-30 11:14,N,0.00,UAH
33467,Мукачево,ул. Матросова 19,Timeout,2019-03-30 11:12,2019-03-30 11:14,N,0.00,UAH
33468,Киев,"ул. Берковецкая 6, Ашан",Timeout,2019-03-30 11:11,2019-03-30 11:14,N,0.00,UAH
33469,Берегово,ул. Мукачевская 190/2,Timeout,2019-03-30 11:13,2019-03-30 11:14,N,0.00,UAH
33470,Южный,ул. Химиков 29,NewUser,2019-03-30 11:12,2019-03-30 11:16,N,0.00,UAH
33471,Киев,"ул. Берковецкая 6, Ашан",Timeout,2019-03-30 11:14,2019-03-30 11:16,Y,22824.00,UAH
33472,Киев,ул. Семьи Cосниных 17,NewUser,2019-03-30 11:17,2019-03-30 11:18,N,0.00,UAH
33473,Киев,ул. Жилянская 107,Timeout,2019-03-30 11:15,2019-03-30 11:20,N,0.00,UAH
33474,Южный,ул. Химиков 29,Timeout,2019-03-30 11:18,2019-03-30 11:20,N,0.00,UAH
33475,Киев,ул. Бережанская 22,NewUser,2019-03-30 11:20,2019-03-30 11:21,N,0.00,UAH
33476,Виноградов,ул. Ивана Франко 135е,Timeout,2019-03-30 11:18,2019-03-30 11:21,N,0.00,UAH
33477,Киев,ул. Семьи Cосниных 17,Timeout,2019-03-30 11:21,2019-03-30 11:22,N,0.00,UAH
